mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',1010004042672951,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1048,9759,2022-10-24 13:08:23.218125
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',810004272061700,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1053,9806,2022-10-24 13:08:25.323931
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',800004272061700,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1055,9828,2022-10-24 13:08:26.374889
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',800003010412265,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1058,9862,2022-10-24 13:08:27.962304
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',800002129206577,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1062,9899,2022-10-24 13:08:29.565253
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',600002189895619,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1065,9935,2022-10-24 13:08:31.125778
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',400002316864975,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1068,9968,2022-10-24 13:08:32.719674
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',400001125621877,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1073,10014,2022-10-24 13:08:34.818225
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',200001210891070,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1076,10048,2022-10-24 13:08:36.402216
b'5\x7f\x89u\xff=\r\x00\x91\xb7\x18\x91\xca\xde\xe4\x1a\xff\x03\xfb\x93\\^\xbd\x95\x183-Km\xdd/ ',b'eI\xe4\x06\xba\x94\xb5\x00\xf0\xdfaln\x8f\x9fO\x8a\xfd7!\x01\xad\x91\x9a\xa7g\x06\xda\x8dE\x86\xb3',200000063494490,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1079,10080,2022-10-24 13:08:38.000814
